Frage;richtige Antwort;Antwort2;Antwort3;Antwort4;Vorkommentar;Nachkommentar;Bildurl;Thema;Schwierigkeitsstufe
Wie wird das windstille Zentrum eines Wirbelsturms genannt?;Auge;Herz;Hirn;Körper;;;;Erdkunde;3
Wie nennt man die starken Regenfälle, die zu bestimmten Jahreszeiten in Asien niedergehen?;Monsun;Taikun;Orkan;Zyklon;;;;Erdkunde;1
Was ist ein Mittelgebirge?;ein Gebirge von mittlerer Höhe;die Mitte eines Gebirges;ein Gebirge in der Mitte eines Landes;ein Gebirge zwischen zwei Gebirgen;;;;Erdkunde;3
Welche Küstenform gibt es nicht?;Geestküste;Schärenküste;Boddenküste;Fördenküste;;Die Geest ist eine flachwellige Landschaft im nordwestdeutschen Tiefland. Sie liegt hinter dem Marschland, ist somit keinesfalls eine Küstenform. Encarta-Enzyklopädie;;Erdkunde;3
"Dass die Indianer und die Tschuktschen in Sibirien gleicher Abstammung sind, ahnt man schon. Wie aber kamen die ersten ""Indianer"" nach Nordamerika?";Während des Pleistozän bestand eine Landbrücke, weil der Meeresspiegel ca. 100 m tiefer lag als heute.;Mit Beginn des Holozän begannen sich die Erdmassen zu trennen. In dieser Zeit wechselten die Menschen Richtung heutigem Nordamerika.;Nach der letzten Eiszeit setzten die ersten Menschen vor ca. 9.000 Jahren zum heutigen Nordamerika über.;Es fand nie ein Wechsel Richtung Nordamerika, sondern Richtung Sibirien statt und dieser Wechsel vollzog sich vor ca. 6.500 Jahren per Kanu (engste Meerstelle: ca. 60km).;;Im Pleistozän (Eiszeit) wurde ein Teil des Meerwassers als Eis gebunden, dadurch sank der Meeresspiegel um etwa 100 Meter ab. So entstand die Landbrücke über die Beringstraße, die die Besiedlung Amerikas durch den Menschen von Asien aus ermöglichte. <br>Encarta-Enzyklopädie;;Erdkunde;5
Welcher der folgenden Begriffe bezeichnet keinen Wind?;Tsunami;Bora;Mistral;Schirokko;;www.wissen.de;;Erdkunde;3
Wie nennt man die Wolken, die sehr hoch am Himmel dünne weiße Streifen bilden und schlechtes Wetter ankündigen?;Federwolken;Haufenwolken;Schäfchenwolken;Schichtwolken;;http://www.bauernregeln.net/40.html;;Erdkunde;3
In welcher Zeitzone liegt Saudi-Arabien?;MEZ + 2 Stunden;MEZ + 3 Stunden;GMT + 1 Stunde;GMT + 4 Stunden;;;;Erdkunde;5
Wer schuf die ersten modernen Landkarten?;Mercator;Beheim;Mercalli;Marconi;;;;Erdkunde;4
Breite Flussmündungen mit vielen Flussarmen nennt man ...?;Delta;Alpha;Beta;Gamma;;;;Erdkunde;1
Wer war während des zweiten Weltkrieges US-Präsident?;Franklin D. Roosevelt;Richard Nixon;John F. Kennedy;Ronald Reagan;;;;Geschichte;1
Wie hieß die deutsche Verteidigungslinie in Italien, auf der im zweiten Weltkrieg das Kloster Monte Carlo lag?;Gustavlinie;Ferdinandlinie;Franzlinie;Gretellinie;;;;Geschichte;2
Wem gelang es, im 1.Weltkrieg Deutsch-Ostafrika als einzige deutsche Kolonie bis zum Ende des Krieges gegen die britischen, belgischen und portugiesischen Truppen zu verteidigen?;Paul von Lettow-Vorbeck;Lothar von Trotha;Freiherr von Schleinitz;Graf von Götzen;;http://de.wikipedia.org/wiki/Paul_von_Lettow-Vorbeck;;Geschichte;1
1994 fand in Ruanda einer der schlimmsten Völkermorde der Menschheitsgeschichte statt als Ergebnis einer jahrzehntelangen Feindschaft zwischen zwei Volksgruppen. Wie heißen diese?;Hutu und Tutsi;Zulu und Xhosa;Bemda und Nyanja;Kikuyu und Massai;;http://de.wikipedia.org/wiki/Ruanda<br>Bevölkerung: Mehrheit Hutu (85%) , Minderheit Tutsi (14%).;;Geschichte;2
Welches Giftgas wurde während des 2. Weltkrieges durch die Alliierten gegen Städte in Japan eingesetzt?;Napalm;Agent Orange;Sulphurdioxid;Senfgas;;http://de.wikipedia.org/wiki/Napalm<br>Napalm wurde während des 2. Weltkrieges durch die Alliierten gegen Städte in Japan und später durch die USA im Vietnamkrieg eingesetzt.;;Geschichte;2
Welche deutsche Stadt wurde im zweiten Weltkrieg als Erste von den Amerikanern eingenommen?;Aachen;Kaiserslautern;Mannheim;Koblenz;;;;Geschichte;2
Byzanz und Konstantinopel sind alle Namen für?;Istanbul;Bagdad;Damaskus;Athen;;;;Geschichte;1
Welche berühmte Person aus der Antike ließ sich von einer Schlange beißen, um Selbstmord zu begehen?;Cleopatra;Cäsar;Marc Anton;Sophokles;;;;Geschichte;2
In welchem Jahr gründeten Uri, Schwyz und Unterwalden die Eidgenossenschaft?;1291;1266;1298;1307;;;;Geschichte;1
"Welche Stadt wurde nach Ende des 2.Weltkrieges von ""Rosinenbombern"" versorgt?";Westberlin;Frankfurt;München;Hamburg;;;;Geschichte;2
Wie viele Punkte ergibt der erste gewonnene Ballwechsel beim Tennis?;15;1;5;10;;;;Sport;2
In welcher Sportart kann man einen Satz mit 25:21 gewinnen?;Volleyball;Tischtennis;Badminton;Prellball;;;;Sport;5
Welche alte ostasiatische Kampfsportart perfektionierte Bruce Lee?;Kung Fu;Makramee;Ikebana;Manga;;;;Sport;1
In welcher Sportart müssen die Tore laut Regeln 7,32 Meter breit sein?;Fußball;Handball;Wasserball;Feldhockey;;;;Sport;1
Welche Stadt in Baden-Württemberg ist vor allem bei Leichtathletik-Freunden bekannt?;Kornwestheim;Biersüdheim;Weinostheim;Sektnordheim;;;;Sport;3
Was machen die Sportler beim Triathlon nicht?;reiten;schwimmen;Rad fahren;laufen;;;;Sport;1
Welche Sportart betreibt Hilde Gerg?;Skifahren;Radsport;Schwimmen;Tennis;;;;Sport;1
Wie lang dauert ein reguläres Handball - Spiel?;2 x 30 Minuten;2 x 45 Minuten;2 x 20 Minuten;2 x 35 Minuten;;;;Sport;3
Was für eine Sportart wird in dem Wappen von SpVgg Unterhaching außer Fußball noch dargestellt?;Bobsport;Bogenschießen;Handball;Skispringen;;;;Sport;4
Welcher deutsche Leichtathlet war 2000 in einen Dopingskandal verwickelt?;Dieter Baumann;Frank Busemann;Heinz Weiß;Lars Riedel;;;;Sport;2
Welche Formel passt: Die Energie, die einem Körper innewohnt, entspricht seiner Masse, multipliziert mit dem Quadrat der Lichtgeschwindigkeit?;E = mc²;E = mg²;A= A+B-B;E = mc³;;;;Nat.-wissenschaften;2
Auf welchem Prinzip basiert die chinesische Astrologie?;auf dem Sonne-Mond Zyklus;auf keinem;auf den Mondphasen;auf dem Jahresablauf;;;;Nat.-wissenschaften;3
Wann wurde der Nobelpreis erstmals an einen Deutschen verliehen?;1901;1908;1912;1883;;Physik: Wilhelm Conrad Roentgen für die Entdeckung der nach ihm benannten Strahlen<br>Medizin: Emil von Behring für die Entdeckung eines Wirkstoffs gegen Diphterie und seine Arbeiten über Serumtherapie;;Nat.-wissenschaften;5
"Wo findet man das ""Keilbein""?";am Schädel;am Oberschenkelknochen;am Brustbein;an der Handwurzel;;Os sphenoidale befindet sich ungefähr in Schläfenhöhe am Schädel.;;Nat.-wissenschaften;5
Welches dieser Lebewesen ist das stammesgeschichtlich älteste?;Blaualge;Rotalge;Grünalge;Kieselalge;;Blaualgen oder Cyanophyceen sind keine Algen im eigentlichen Sinn, sondern werden zu den Bakterien gerechnet.;;Nat.-wissenschaften;5
Woraus wird Lanolin gewonnen?;Wolle;Walfett;Robbenöl;Katzendarm;;Der erste Schritt bei der Verarbeitung von Wolle zu Stoffen ist das Sortieren der Fasern nach Feinheit, Länge und Gleichmäßigkeit. Dann werden die Fasern vom Wollschweiß gereinigt, der aus Lanolin und getrocknetem Schweiß besteht, dem so genannten Wollfett.;;Nat.-wissenschaften;4
Warum ist die Banane krumm?;wegen des Geotropismus;wegen der Anamorphose;wegen des Bioflorismus;wegen der Parazentese;;;;Nat.-wissenschaften;5
Nach wem wurde die erste ständig besetzte Antarktisstation der Bundesrepublik Deutschland benannt?;von Neumayer;von Humboldt;Senckenberg;Amundsen;;Georg Balthasar von Neumayer(1826-1909), deutscher Hydrograph und Geophysiker. Von 1879 an Vorsitzender der Internationalen Polarkommission.;;Nat.-wissenschaften;5
In welchem dieser Erdzeitalter lebten die Trilobiten?;Silur;Devon;Karbon;Perm;;http://www.fossa.de/Trilobita/trilobita.html;;Nat.-wissenschaften;5
Was ist ein britisches Stone?;ca. 7 Kilogramm;ca. 4 Liter;ca. 6 Meter;ca. 1 Stunde;;;;Nat.-wissenschaften;3
